filename,wellID,counts,well,wellNum
data/assayplate_3765/AssayPlate_Corning_3765_I10_T0001F001L01A01Z01C01.tif,I10,753,I,10
data/assayplate_3765/AssayPlate_Corning_3765_I13_T0001F001L01A01Z01C01.tif,I13,1037,I,13
data/assayplate_3765/AssayPlate_Corning_3765_I12_T0001F001L01A01Z01C01.tif,I12,770,I,12
data/assayplate_3765/AssayPlate_Corning_3765_I04_T0001F001L01A01Z01C01.tif,I04,563,I,04
data/assayplate_3765/AssayPlate_Corning_3765_I11_T0001F001L01A01Z01C01.tif,I11,575,I,11
data/assayplate_3765/AssayPlate_Corning_3765_I15_T0001F001L01A01Z01C01.tif,I15,801,I,15
data/assayplate_3765/AssayPlate_Corning_3765_I18_T0001F001L01A01Z01C01.tif,I18,1460,I,18
data/assayplate_3765/AssayPlate_Corning_3765_J07_T0001F001L01A01Z01C01.tif,J07,1125,J,07
data/assayplate_3765/AssayPlate_Corning_3765_J21_T0001F001L01A01Z01C01.tif,J21,559,J,21
data/assayplate_3765/AssayPlate_Corning_3765_J06_T0001F001L01A01Z01C01.tif,J06,631,J,06
data/assayplate_3765/AssayPlate_Corning_3765_J15_T0001F001L01A01Z01C01.tif,J15,760,J,15
data/assayplate_3765/AssayPlate_Corning_3765_J17_T0001F001L01A01Z01C01.tif,J17,1258,J,17
data/assayplate_3765/AssayPlate_Corning_3765_J11_T0001F001L01A01Z01C01.tif,J11,636,J,11
data/assayplate_3765/AssayPlate_Corning_3765_J24_T0001F001L01A01Z01C01.tif,J24,844,J,24
data/assayplate_3765/AssayPlate_Corning_3765_J22_T0001F001L01A01Z01C01.tif,J22,771,J,22
data/assayplate_3765/AssayPlate_Corning_3765_J01_T0001F001L01A01Z01C01.tif,J01,1175,J,01
data/assayplate_3765/AssayPlate_Corning_3765_J10_T0001F001L01A01Z01C01.tif,J10,713,J,10
data/assayplate_3765/AssayPlate_Corning_3765_J16_T0001F001L01A01Z01C01.tif,J16,954,J,16
data/assayplate_3765/AssayPlate_Corning_3765_J18_T0001F001L01A01Z01C01.tif,J18,992,J,18
data/assayplate_3765/AssayPlate_Corning_3765_J08_T0001F001L01A01Z01C01.tif,J08,1236,J,08
data/assayplate_3765/AssayPlate_Corning_3765_J09_T0001F001L01A01Z01C01.tif,J09,991,J,09
data/assayplate_3765/AssayPlate_Corning_3765_J03_T0001F001L01A01Z01C01.tif,J03,883,J,03
data/assayplate_3765/AssayPlate_Corning_3765_J05_T0001F001L01A01Z01C01.tif,J05,454,J,05
data/assayplate_3765/AssayPlate_Corning_3765_J14_T0001F001L01A01Z01C01.tif,J14,559,J,14
data/assayplate_3765/AssayPlate_Corning_3765_J12_T0001F001L01A01Z01C01.tif,J12,765,J,12
